name,Feedstock,Hydrochar,Hydrochar HHV,TOPSIS Score
stdBSG_250C_1hr,0.13431186738856093,0.001795684836191962,0.05944462463173254,0.8705123378650214
stdSRU_sa_ub_220C_1hr,0.1576564848544737,0.0012681206191932288,0.03605698863729769,0.8672880803634861
rawDCW50_rawBSG50_sa_lb_250C_1hr,0.10421812902295596,0.0025986724747012312,0.06841804247922825,0.8595290321562229
rawSRU50_rawBSG50_sa_ub_250C_1hr,0.16053080432240774,0.0015194911413094533,0.042630340498231764,0.8585789795711773
rawDCW50_rawBSG50_250C_1hr,0.1039996381263749,0.0026243414825079183,0.06904719120330535,0.8578151287908057
stdSRU_220C_1hr,0.1673710824048425,0.0012474040581390083,0.03588628994357494,0.8562312391230764
rawDCW50_rawBSG50_sa_ub_250C_1hr,0.10379103581179541,0.0026508556259981658,0.06969738195163758,0.8560236978914996
rawSRU50_rawBSG50_250C_1hr,0.16407737991186294,0.0015013522451170138,0.04216596567135576,0.8549580000673304
stdSRU_sa_lb_220C_1hr,0.1701133461608829,0.0012293090116517137,0.03502627435383389,0.8534645365486556
rawSRU50_rawBSG50_sa_lb_250C_1hr,0.1676388534442667,0.0014845032968733155,0.041734336071456934,0.8512850093093101
stdSRU_sa_ub_250C_1hr,0.17629124090888887,0.0014412561606489682,0.04082401757693217,0.8423476672666756
stdSRU_250C_1hr,0.18774778631633215,0.0014168012997731764,0.039412982896282006,0.8303139703192441
stdSRU_sa_lb_250C_1hr,0.19005290333892236,0.0013954409702101782,0.03962209728496513,0.8279119324929581
rawDCW50_rawBSG50_sa_lb_190C_3hr,0.15339097143438007,0.0028331998456693932,0.07923717406162185,0.7994682771942938
rawDCW50_rawBSG50_190C_3hr,0.15237835130958238,0.0028476027854241795,0.07960480208950584,0.7993932524661748
rawDCW50_rawBSG50_sa_ub_190C_3hr,0.15137308307737124,0.002862481762903787,0.07998473009553565,0.7992681500169257
